corpus,filename,author,author_ja,title,title_ja,author_year,year,ndc,brow,genre,narrative_perspective,comments
Ebook Restricted,Kawabata_Y_Izu_no_Odoriko.txt,Kawabata Yasunari,川端 康成,Izu no Odoriko,伊豆の踊子,1899/6/14--1972/4/16,1926,小説、物語,high,Fiction,homodiegetic,
Ebook Restricted,Kawabata_Y_Koto.txt,Kawabata Yasunari,川端 康成,Koto,古都,1899/6/14--1972/4/16,1962,小説、物語,high,Fiction,homodiegetic,
Ebook Restricted,Kawabata_Y_Senbazuru.txt,Kawabata Yasunari,川端 康成,Senbazuru,千羽鶴,1899/6/14--1972/4/16,1952,小説、物語,high,Fiction,homodiegetic,
Ebook Restricted,Kawabata_Y_Yama_no_Oto.txt,Kawabata Yasunari,川端 康成,Yama no Oto,山の音,1899/6/14--1972/4/16,1954,小説、物語,high,Fiction,homodiegetic,
Ebook Restricted,Kawabata_Y_Nemureru_Bijo.txt,Kawabata Yasunari,川端 康成,Nemureru Bijo,眠れる美女,1899/6/14--1972/4/16,1961,小説、物語,high,Fiction,homodiegetic,
Ebook Restricted,Kawabata_Y_Yukiguni.txt,Kawabata Yasunari,川端 康成,Yukiguni,雪国,1899/6/14--1972/4/16,1947,小説、物語,high,Fiction,homodiegetic,
