000	総記
001	
002	知識、学問、学術
003	
004	
005	
006	
007	情報科学
008	
009	
010	図書館、図書館学
011	図書館政策、図書館行財政
012	図書館建築、図書館設備
013	図書館管理
014	資料の収集、資料の整理、資料の保管
015	図書館奉仕、図書館活動
016	各種の図書館
017	学校図書館
018	専門図書館
019	読書、読書法
020	図書、書誌学
021	著作、編集
022	写本、刊本、造本
023	出版
024	図書の販売
025	一般書誌、全国書誌
026	稀書目録、善本目録
027	特種目録
028	選定図書目録、参考図書目録
029	蔵書目録、総合目録
030	百科事典
031	日本語
032	中国語
033	英語
034	ドイツ語
035	フランス語
036	スペイン語
037	イタリア語
038	ロシア語
039	用語索引＜一般＞
040	一般論文集、一般講演集
041	日本語
042	中国語
043	英語
044	ドイツ語
045	フランス語
046	スペイン語
047	イタリア語
048	ロシア語
049	雑著
050	逐次刊行物
051	日本の雑誌
052	中国語
053	英語
054	ドイツ語
055	フランス語
056	スペイン語
057	イタリア語
058	ロシア語
059	一般年鑑
060	団体
061	学術・研究機関
062	
063	文化交流機関
064	
065	親睦団体、その他の団体
066	
067	
068	
069	博物館
070	ジャーナリズム、新聞
071	日本
072	アジア
073	ヨーロッパ
074	アフリカ
075	北アメリカ
076	南アメリカ
077	オセアニア、両極地方
078	
079	
080	叢書、全集、選集
081	日本語
082	中国語
083	英語
084	ドイツ語
085	フランス語
086	スペイン語
087	イタリア語
088	ロシア語
089	その他の諸言語
090	貴重書、郷土資料、その他の特別コレクション
091	
092	
093	
094	
095	
096	
097	
098	
099	
100	哲学
101	哲学理論
102	哲学史
103	参考図書（レファレンスブック）
104	論文集、評論集、講演集
105	逐次刊行物
106	団体
107	研究法、指導法、哲学教育
108	叢集、全集、選集
109	
110	哲学各論
111	形而上学、存在論
112	自然哲学、宇宙論
113	人生観、世界観
114	人間学
115	認識論
116	論理学、弁証法（弁証法的論理学）、方法論
117	価値哲学
118	文化哲学、技術哲学
119	美学
120	東洋思想
121	日本思想
122	中国思想、中国哲学
123	経書
124	先秦思想、諸子百家
125	中世思想、近代思想
126	インド哲学、バラモン教
127	
128	
129	その他のアジア・アラブ哲学
130	西洋哲学
131	古代哲学
132	中世哲学
133	近代哲学
134	ドイツ・オーストリア哲学
135	フランス・オランダ哲学
